sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Request on index.php,50,1245,766,2621,404.78595034906994,0.0,4.482294935006723,10.601678059166293,2422.0
TOTAL,50,1245,766,2621,404.78595034906994,0.0,4.482294935006723,10.601678059166293,2422.0
