sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Request on index.php,800,10634,2234,151623,20667.685414081167,0.8725,5.180374152523166,33.83307291498035,6687.75375
TOTAL,800,10634,2234,151623,20667.685414081167,0.8725,5.180374152523166,33.83307291498035,6687.75375
