sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Request on index.php,200,3021,681,8908,1978.0252766269193,0.715,15.640885274106516,91.97130752913114,6021.31
TOTAL,200,3021,681,8908,1978.0252766269193,0.715,15.640885274106516,91.97130752913114,6021.31
