sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Request on index.php,400,1589,678,6121,1452.6440362641324,0.8475,29.344875651089428,191.66774608429316,6688.315
TOTAL,400,1589,678,6121,1452.6440362641324,0.8475,29.344875651089428,191.66774608429316,6688.315
