sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
CakePHP Test Plan Live Server 50 users:Request on index.php,50,879,716,2321,367.30412684858294,0.0,4.545867806164196,9.51347139512683,2143.0
TOTAL,50,879,716,2321,367.30412684858294,0.0,4.545867806164196,9.51347139512683,2143.0
