sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
CakePHP Test Plan Live Server 1600 users:Request on index.php,1600,20662,725,84389,13540.297991956271,0.061875,17.017293824849503,35.40357409701984,2130.3775
TOTAL,1600,20662,725,84389,13540.297991956271,0.061875,17.017293824849503,35.40357409701984,2130.3775
