sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
CakePHP Test Plan Live Server 200 users:Request on index.php,200,1214,708,9798,989.8612599627284,0.0,13.210912213488342,27.64744616553273,2143.0
TOTAL,200,1214,708,9798,989.8612599627284,0.0,13.210912213488342,27.64744616553273,2143.0
