sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Request on index.php,1600,22374,756,49428,14456.866840409362,0.08375,27.464510702576515,57.01876491237105,2125.915
TOTAL,1600,22374,756,49428,14456.866840409362,0.08375,27.464510702576515,57.01876491237105,2125.915
