sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
CakePHP Test Plan Local  Server 200 users:Request on index.php,200,15,15,18,0.58393064656688,0.0,20.0,89.5703125,4586.0
TOTAL,200,15,15,18,0.58393064656688,0.0,20.0,89.5703125,4586.0
