sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
CakePHP Test Plan Local  Server 1600 users:Request on index.php,1600,1001,17,6640,1099.5009252433294,0.0,118.7736619404647,531.929700838839,4586.0
TOTAL,1600,1001,17,6640,1099.5009252433294,0.0,118.7736619404647,531.929700838839,4586.0
