sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
CakePHP Test Plan Local  Server 100 users:Request on index.php,100,16,15,19,0.4898979485566449,0.0,10.064412238325282,45.073627465781,4586.0
TOTAL,100,16,15,19,0.4898979485566449,0.0,10.064412238325282,45.073627465781,4586.0
