sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Request on index.php,100,8,8,11,0.5517245689653498,0.0,10.07455168245013,32.68326239169857,3322.0
TOTAL,100,8,8,11,0.5517245689653498,0.0,10.07455168245013,32.68326239169857,3322.0
