sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Request on index.php,50,8,8,12,0.8392854103342955,0.0,5.094243504839532,16.52644230769231,3322.0
TOTAL,50,8,8,12,0.8392854103342955,0.0,5.094243504839532,16.52644230769231,3322.0
