sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Request on index.php,800,8,7,51,1.8432308591166706,0.0,79.1295746785361,256.7074678536103,3322.0
TOTAL,800,8,7,51,1.8432308591166706,0.0,79.1295746785361,256.7074678536103,3322.0
